Cz 	 -6.45 	 -5.31 	 98.67  
NFpz 	 0.17 	 88.53 	 -28.09  
Fpz 	 -2.24 	 88.44 	 -10.18  
AFpz 	 -1.04 	 87.45 	 9.78  
AFz 	 -2.97 	 83.46 	 28.38  
AFFz 	 -3.26 	 74.46 	 47.12  
Fz 	 -4.54 	 62.34 	 63.26  
FFCz 	 -4.57 	 48.84 	 74.61  
FCz 	 -6.49 	 31.78 	 84.65  
FCCz 	 -5.44 	 12.31 	 93.52  
CCPz 	 -5.91 	 -24.78 	 102.50  
CPz 	 -5.08 	 -43.71 	 101.73  
CPPz 	 -4.12 	 -60.78 	 96.66  
Pz 	 -5.39 	 -78.83 	 85.58  
PPOz 	 -4.50 	 -92.39 	 72.18  
POz 	 -3.49 	 -103.02 	 54.47  
POOz 	 -2.62 	 -110.67 	 38.81  
Oz 	 -2.32 	 -117.55 	 18.78  
OIz 	 -0.81 	 -119.45 	 1.60  
T9h 	 -83.55 	 -17.85 	 -37.32  
T7 	 -83.48 	 -16.02 	 -19.03  
T7h 	 -83.49 	 -12.99 	 0.91  
C5 	 -82.85 	 -11.38 	 22.01  
C5h 	 -78.66 	 -10.75 	 42.70  
C3 	 -70.98 	 -9.58 	 58.44  
C3h 	 -56.41 	 -7.14 	 75.26  
C1 	 -42.43 	 -5.97 	 86.16  
C1h 	 -22.40 	 -6.14 	 95.53  
C2h 	 14.71 	 -5.97 	 97.46  
C2 	 34.81 	 -5.43 	 89.99  
C4h 	 50.83 	 -4.92 	 79.54  
C4 	 66.65 	 -7.41 	 64.63  
C6h 	 76.53 	 -8.41 	 49.25  
C6 	 82.51 	 -11.11 	 28.88  
T8h 	 84.48 	 -10.79 	 9.66  
T8 	 84.54 	 -14.59 	 -10.93  
T10h 	 83.52 	 -15.58 	 -29.71  
Fp1h 	 -16.21 	 87.47 	 -12.89  
Fp1 	 -29.19 	 84.38 	 -17.08  
AFp7 	 -43.46 	 76.46 	 -20.14  
AF7 	 -54.45 	 68.24 	 -22.41  
AFF7 	 -63.29 	 54.37 	 -23.87  
F7 	 -69.44 	 42.47 	 -22.96  
FFT7 	 -75.57 	 26.58 	 -23.76  
FT7 	 -78.50 	 13.62 	 -22.64  
FTT7 	 -81.49 	 -2.57 	 -19.76  
TTP7 	 -83.47 	 -30.77 	 -16.98  
TP7 	 -83.22 	 -46.31 	 -14.19  
TPP7 	 -78.50 	 -62.04 	 -11.95  
P7 	 -73.45 	 -74.63 	 -9.03  
PPO7 	 -66.76 	 -86.65 	 -5.42  
PO7 	 -56.43 	 -99.11 	 1.29  
POO7 	 -45.13 	 -107.56 	 5.16  
O1 	 -32.96 	 -114.53 	 10.04  
O1h 	 -21.08 	 -117.45 	 14.20  
Fp2h 	 12.21 	 88.45 	 -13.45  
Fp2 	 26.51 	 85.45 	 -15.43  
AFp8 	 41.53 	 77.51 	 -16.06  
AF8 	 52.75 	 68.73 	 -18.69  
AFF8 	 62.34 	 56.33 	 -16.68  
F8 	 69.53 	 42.00 	 -16.67  
FFT8 	 75.20 	 28.37 	 -16.27  
FT8 	 78.53 	 13.97 	 -13.56  
FTT8 	 82.26 	 -1.14 	 -12.32  
TTP8 	 85.46 	 -31.11 	 -7.88  
TP8 	 82.55 	 -46.89 	 -6.09  
TPP8 	 78.24 	 -61.35 	 -3.33  
P8 	 72.35 	 -75.27 	 -0.28  
PPO8 	 65.30 	 -87.30 	 1.27  
PO8 	 55.43 	 -98.15 	 6.04  
POO8 	 43.39 	 -107.47 	 9.39  
O2 	 29.87 	 -113.52 	 12.05  
O2h 	 15.45 	 -117.54 	 16.42  
F7h 	 -67.47 	 45.65 	 -8.30  
F5 	 -65.51 	 48.09 	 4.18  
F5h 	 -60.05 	 51.46 	 19.22  
F3 	 -52.46 	 56.13 	 30.96  
F3h 	 -43.70 	 57.46 	 43.40  
F1 	 -32.61 	 58.70 	 54.01  
F1h 	 -19.47 	 61.44 	 59.47  
F2h 	 10.21 	 62.68 	 61.74  
F2 	 23.34 	 61.45 	 58.12  
F4h 	 37.05 	 58.70 	 51.57  
F4 	 47.31 	 57.41 	 41.50  
F6h 	 56.22 	 53.73 	 29.54  
F6 	 63.55 	 49.54 	 15.59  
F8h 	 67.48 	 46.09 	 1.80  
P7h 	 -72.58 	 -75.82 	 5.39  
P5 	 -72.41 	 -76.23 	 23.99  
P5h 	 -67.89 	 -76.60 	 40.63  
P3 	 -61.51 	 -76.92 	 54.23  
P3h 	 -50.69 	 -78.62 	 66.30  
P1 	 -37.22 	 -78.36 	 78.01  
P1h 	 -24.40 	 -79.10 	 82.51  
P2h 	 10.76 	 -79.51 	 84.93  
P2 	 25.21 	 -78.56 	 81.99  
P4h 	 40.50 	 -77.30 	 74.61  
P4 	 51.80 	 -77.38 	 64.39  
P6h 	 61.41 	 -78.06 	 50.02  
P6 	 68.38 	 -76.15 	 34.14  
P8h 	 70.50 	 -76.59 	 18.58  
AF7h 	 -49.55 	 70.92 	 -13.31  
AF5 	 -44.96 	 73.57 	 -5.65  
AF5h 	 -40.01 	 76.00 	 1.51  
AF3 	 -36.02 	 77.46 	 11.36  
AF3h 	 -30.72 	 79.81 	 16.49  
AF1 	 -21.95 	 82.31 	 22.23  
AF1h 	 -12.15 	 83.52 	 25.62  
AF2h 	 6.14 	 83.52 	 26.83  
AF2 	 15.73 	 82.64 	 26.43  
AF4h 	 23.47 	 81.49 	 23.59  
AF4 	 32.34 	 79.46 	 17.75  
AF6h 	 37.48 	 78.03 	 9.29  
AF6 	 41.32 	 76.18 	 1.48  
AF8h 	 46.41 	 73.08 	 -5.84  
PO7h 	 -54.83 	 -99.60 	 12.38  
PO5 	 -52.49 	 -101.03 	 20.30  
PO5h 	 -46.42 	 -102.14 	 31.30  
PO3 	 -41.30 	 -102.33 	 39.74  
PO3h 	 -34.11 	 -102.53 	 44.87  
PO1 	 -24.69 	 -102.70 	 50.16  
PO1h 	 -15.31 	 -103.51 	 51.89  
PO2h 	 5.10 	 -102.39 	 56.14  
PO2 	 16.44 	 -102.44 	 54.18  
PO4h 	 25.36 	 -102.27 	 50.23  
PO4 	 34.74 	 -101.46 	 44.92  
PO6h 	 42.71 	 -101.27 	 36.45  
PO6 	 48.65 	 -99.71 	 29.15  
PO8h 	 51.23 	 -99.31 	 19.58  
FT7h 	 -77.47 	 16.68 	 -4.43  
FC5 	 -76.52 	 19.60 	 12.29  
FC5h 	 -72.80 	 22.53 	 29.25  
FC3 	 -64.50 	 24.55 	 46.24  
FC3h 	 -52.66 	 27.59 	 61.28  
FC1 	 -39.55 	 29.26 	 72.79  
FC1h 	 -23.95 	 30.95 	 80.54  
FC2h 	 13.05 	 31.36 	 84.52  
FC2 	 29.42 	 31.12 	 78.41  
FC4h 	 46.03 	 28.99 	 68.51  
FC4 	 59.31 	 25.57 	 56.44  
FC6h 	 69.50 	 23.45 	 40.08  
FC6 	 75.74 	 20.61 	 24.03  
FT8h 	 77.92 	 18.49 	 6.01  
TP7h 	 -82.49 	 -46.20 	 4.65  
CP5 	 -82.53 	 -44.56 	 24.15  
CP5h 	 -79.53 	 -44.80 	 43.82  
CP3 	 -71.44 	 -44.56 	 62.22  
CP3h 	 -58.84 	 -42.63 	 77.58  
CP1 	 -43.40 	 -43.76 	 89.51  
CP1h 	 -25.35 	 -44.06 	 97.53  
CP2h 	 14.08 	 -44.40 	 100.54  
CP2 	 31.29 	 -44.77 	 95.49  
CP4h 	 48.65 	 -44.73 	 85.77  
CP4 	 62.92 	 -45.65 	 71.94  
CP6h 	 74.50 	 -45.56 	 54.44  
CP6 	 80.45 	 -47.08 	 36.84  
TP8h 	 82.49 	 -46.02 	 18.39  
FTT7h 	 -80.46 	 0.26 	 -2.53  
FCC5 	 -80.55 	 3.00 	 17.14  
FCC5h 	 -76.48 	 4.86 	 36.63  
FCC3 	 -68.46 	 6.51 	 53.30  
